claim,label
"IFI16 impedes STING phosphorylation and translocation, resulting in reduced activation of STING.",CONTRADICT
IL-10 production by monocytes inhibits CD4 + T cell response.,SUPPORT
IL-6 signaling plays a major role in atherosclerotic cardiovascular disease.,SUPPORT
IRG1 has antiviral effects against neurotropic viruses.,SUPPORT
Immune responses in immune cells are geographically segregated.,SUPPORT
Improvements in OER catalysts show stable activity over several hundred hours.,SUPPORT
"In British Men, haplogroup I decreases risk of cardiovascular disease.",CONTRADICT
"In British Men, haplogroup I increases risk of cardiovascular disease by 50%.",SUPPORT
"In S. cerevisiae, the absence of RNA surveillance pathways causes sensitivity to high iron conditions.",SUPPORT
"In a naive state, blocking Wingless-Int-1 secretion from mouse embryonic stem cells inhibits self-renewal of the mouse embryonic stem cells.",SUPPORT
"In breast cancer, the loss of myoepithelial cells slows the transition of ductal carcinoma in situ to invasive carcinoma.",CONTRADICT
"In melanoma, anti-CTLA-4 treatment reinvigorates exhausted PD-1+Eomes+CD8 T cells.",SUPPORT
"In mouse models, the loss of CSF1R facilitates MOZ-TIF2-induced leuekmogenesis.",CONTRADICT
"In patients with congenital heart defects, β-blockers significantly improve clinical heart failure outcomes.",CONTRADICT
"In pediatric tissue, most T cells are naive T cell emigrants from the thymus.",SUPPORT
"In young and middle-aged adults, current or remote uses of ADHD medications do not increase the risk of serious cardiovascular events.",SUPPORT
"In young and middle-aged adults, current or remote uses of ADHD medications increase the risk of serious cardiovascular events.",CONTRADICT
Incidence of 10/66 dementia is higher than the incidence of DSM-IV dementia.,SUPPORT
Incidence of 10/66 dementia is lower than the incidence of DSM-IV dementia.,CONTRADICT
Incidence of heart failure decreased by 10% in women since 1979.,SUPPORT
Incidence of heart failure increased by 10% in women since 1979.,CONTRADICT
Incidence of sepsis has fallen substantially from 2009 to 2014.,CONTRADICT
Incidence rates of cervical cancer have increased due to nationwide screening programs based primarily on cytology to detect uterine cervical cancer.,CONTRADICT
Increased LDL receptors plays a role in the reduction of plasma Lp(a).,SUPPORT
Increased diastolic blood pressure (DBP) is associated with abdominal aortic aneurysm.,SUPPORT
Increased microtubule acetylation exacerbates LRRK2 Roc-COR domain mutation induced locomotor deficits.,CONTRADICT
Increased microtubule acetylation worsens interference of axonal transport caused by LRRK2 Roc-COR domain mutations.,CONTRADICT
Increased vessel density along with a reduction in fibrosis decreases the efficacy of chemotherapy treatments.,CONTRADICT
Individuals with Alzheimers who participate in six months of physical activity improve cognitive function for up to 18 months.,SUPPORT
Induction of urokinase receptor signaling in podocytes causes foot process effacement and proteinuria.,SUPPORT
Inhibiting HDAC6 increases survival of mice with ARID1A mutated tumors.,SUPPORT
Inhibiting focal adhesion formation enables cells to convert mechanical strain into eventual scarring.,CONTRADICT
Inhibiting glucose-6-phospate dehydrogenase improves lipogenesis by deactivating LKB1-AMPK signaling.,CONTRADICT
"Inositol lipid 3-phosphatase PTEN converts Ptdlns(3,4)P 2 into phosphatidylinositol 4-phosphate.",SUPPORT
"Inside the body, falciparum parasites reproduce asexually.",SUPPORT
Insomnia can be effectively treated with cognitive behavioral therapy.,SUPPORT
Insulin effects appetite via ventral tegmental neurons.,SUPPORT
Intake of folic acid (FA) and vitamin B6 (VB6) increases levels of homocysteine.,CONTRADICT
Intake of folic acid (FA) and vitamin B6 (VB6) reduces levels of homocysteine.,SUPPORT
Integrated care is successful at tackling multiple comorbidities.,SUPPORT
Interleukin-18 plays an important role in the pathogenesis of atherosclerosis.,SUPPORT
Intramembrane cleavage by signal peptide peptidase aids in the degradation of proteins with a complex membrane orientation.,SUPPORT
KLF4 is necessary for VSMCs to gain genetic characteristics of other cell types within atherosclerotic lesions.,SUPPORT
KRT17 modulates the expression of the transcriptional regulator AIRE in diseased epithelia.,SUPPORT
Kir7.1 modulates channel activity by the G protein-coupled melanocortin-4 receptor (MC4R) in the paraventricular nucleus of the hypothalamus.,SUPPORT
Klf4 is not required for proper myeloid cell differentiation.,CONTRADICT
Knockout proximal tubule-specific deletion of the BMP receptor Alk3 causes epithelial damage.,SUPPORT
LDL cholesterol has a causal role in the development of cardiovascular disease.,SUPPORT
LDL cholesterol has no involvement in the development of cardiovascular disease.,CONTRADICT
Lack of FGF21 in mice increases life expectancy.,CONTRADICT
Lack of FGF21 in mice leads to atherosclerotic plaque formation.,SUPPORT
Lack of FGF21 in mice leads to reduced lifespan.,SUPPORT
Lack of FGF21 in mice slows the rate of atherosclerotic plaque formation.,CONTRADICT
Leuko-increased blood increases infectious complications in red blood cell transfusion.,CONTRADICT
Leuko-reduced blood reduces infectious complications in red blood cell transfusion.,SUPPORT
Long chain polyunsaturated fatty acids supplementation is associated with lower rates of atopic eczema at 1 year.,SUPPORT
Low nucleosome occupancy correlates with low methylation levels across species.,CONTRADICT
Lupus-prone mice infected with curliproducing bacteria have higher autoantibody titers compared to controls.,SUPPORT
Ly49Q directs the organization of neutrophil migration to inflammation sites by regulating membrane raft functions.,SUPPORT
Ly49Q directs the organization of neutrophil polarization by regulating membrane raft functions.,SUPPORT
Ly6C hi monocytes have a higher inflammatory capacity than Ly6C lo monocytes.,SUPPORT
Ly6C hi monocytes have a lower inflammatory capacity than Ly6C lo monocytes.,CONTRADICT
Lymphadenopathy is observed in knockin mouse lacking the SHP-2 MAPK pathway.,SUPPORT
MEK inhibitors are effective treatments in RAS-driven mouse models of cancer.,SUPPORT
MFGE8 regulates fat absorption by binding to av-Beta3 and av-Beta5 integrins.,SUPPORT
MICAL redox enzymes regulate actin dynamics in many cell types.,SUPPORT
MICAL redox enzymes regulate actin dynamics.,SUPPORT
MUC1-C activates the NF-κB p65 signaling pathway by interacting with IκB kinase ß.,SUPPORT
Macrolides protect against myocardial infarction.,CONTRADICT
Macropinocytosis contributes to a cell's supply of amino acids via the intracellular uptake of protein.,SUPPORT
MafA phosphorylation decreases its ubiquitination.,CONTRADICT
MafA phosphorylation enhances its ubiquitination.,SUPPORT
MafA ubiquitination increases the recruitment of coavtivator P/CAF by MafA.,SUPPORT
Major antigen-induced signals from the T cell receptor and secondary signals from costimulatory receptors are required for T cell activation.,SUPPORT
Major vault protein (MVP) leads to more aggressive tumors by regulating the sorting of tumor suppressive miR-193a into extracellular vesicles (EVs).,SUPPORT
Major vault protein regulates sorting of tumor suppressive miR-193a into EVs.,SUPPORT
Many proteins in human cells can be post-translationally modified at lysine residues via acetylation.,SUPPORT
Mathematical models predict that using Artemisinin-based combination therapy over nongametocytocidal drugs have a dramatic impact in reducing malaria transmission.,CONTRADICT
Mathematical models predict that using Artemisinin-based combination therapy over nongametocytocidal drugs have only a modest impact in reducing malaria transmission.,SUPPORT
Medications to treat obesity are highly effective.,CONTRADICT
Medications to treat obesity have unwanted side effects.,SUPPORT
Men are more susceptible to death due to pneumonia when compared to women.,CONTRADICT
Metastatic colorectal cancer treated with a single agent fluoropyrimidines resulted in reduced efficacy and lower quality of life when compared with oxaliplatin-based chemotherapy in elderly patients.,SUPPORT
Metastatic colorectal cancer treated with a single agent fluoropyrimidines resulted in similar efficacy and better quality of life when compared with oxaliplatin-based chemotherapy in elderly patients.,CONTRADICT
Mice are incapable of producing neutralizing antibodies in reponse to the Chikungunya virus (CHIKV) produced in mosquitos.,CONTRADICT
Mice lacking Sirt1 in Sf1-expressing neurons are immune to diet-induced obesity and insulin resistance.,CONTRADICT
Mice lacking Sirt1 in Sf1-expressing neurons have increased susceptibility to diet-induced obesity and insulin resistance.,SUPPORT
Mice that lack Interferon-γ or its receptor exhibit high resistance to experimental autoimmune myocarditis.,CONTRADICT
Mice without IFN-γ or its receptor are highly susceptible to EAM induced with α-MyHC/CFA.,SUPPORT
MicroRNA is involved in the regulation of Neural Stem Cell (NSC) differentiation and proliferation dynamic homeostasis,SUPPORT
Microcin J25 encourages nucleoside triphosphate (NTP) binding.,CONTRADICT
Microglia are an innate immune cell type of the central nervous system.,SUPPORT
Microglia are an innate immune cell type of the peripheral nervous system.,CONTRADICT
Misunderstandings between doctors and patients can lead to non-adherence.,SUPPORT
Mitochondria are uninvolved in apoptosis.,CONTRADICT
Mitochondria play a major role in energy production.,SUPPORT
Mitochondria play a trivial role in calcium homeostasis.,CONTRADICT
Monoclonal antibody targeting of N-cadherin encourages castration resistance.,CONTRADICT
Monoclonal antibody targeting of N-cadherin encourages metastasis.,CONTRADICT
Monoclonal antibody targeting of N-cadherin inhibits castration resistance.,SUPPORT
Most termination events in Okazaki fragments are dictated by initiation patterns.,SUPPORT
Most termination events in Okazaki fragments are sequence specific.,SUPPORT
"Mouse models can be generated using ""artificial spermatids.""",SUPPORT
Mutant mice lacking SVCT2 have greatly increased ascorbic acid levels in both brain and adrenals.,CONTRADICT
Mutant mice lacking SVCT2 have severely reduced ascorbic acid levels in both brain and adrenals.,SUPPORT
Mutations in RIM1 decrease levels of IME1 RNA.,SUPPORT
Mutations in RIM1 raise levels of IME1 RNA.,CONTRADICT
Myelin sheaths play a role in action potential propagation.,SUPPORT
N348I mutations cause resistance to nevirapine.,SUPPORT
N348I mutations cause resistance to zidovudine (AZT).,SUPPORT
N348I mutations reduce resistance to nevirapine.,CONTRADICT
NFAT4 activation requires IP3R-mediated Ca2+ mobilization.,SUPPORT
NR5A2 does not play a role in development of endometrial tissues.,CONTRADICT
NR5A2 is important in development of endometrial tissues.,SUPPORT
Nanoparticles can be targeted against specific cell types by incorporating aptamers into lipid nanoparticles.,SUPPORT
Natriuretic peptides increase susceptibility to diabetes.,CONTRADICT
Natriuretic peptides protect against diabetes.,SUPPORT
Neutrophil extracellular trap (NET) antigens may contain the targeted autoantigens PR3 and MPO.,SUPPORT
Neutrophil extracellular traps (NETs) are released by ANCA-stimulated neutrophils.,SUPPORT
Neutrophils produce IL-1β in response to large particles.,SUPPORT
New drugs for tuberculosis often do not penetrate the necrotic portion of a tuberculosis lesion in high concentrations.,CONTRADICT
Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,CONTRADICT
Nonhuman primates are incapable of producing neutralizing antibodies in reponse to the Eilat virus (EILV) produced in mosquitos.,CONTRADICT
Noninvasive positive pressure ventilation is not predictive of acute respiratory failure after solid organ transplantation.,CONTRADICT
Nonsteroidal antinflammatory drugs are ineffective as cancer treatments.,CONTRADICT
Nonsteroidal antinflammatory drugs show potential anticancer indications.,SUPPORT
Normal expression of RUNX1 causes tumorsupressing effects.,SUPPORT
Normal expression of RUNX1 has tumor-promoting effects.,CONTRADICT
Normal granulomas form in the absence of TNF in Zebrafish.,SUPPORT
Obesity is determined solely by environmental factors.,CONTRADICT
Occupancy of ribosomes by IncRNAs mirror 5 0-UTRs,SUPPORT
Omnivores produce less trimethylamine N-oxide from dietary I-carnitine than vegans.,CONTRADICT
Omnivores produce less trimethylamine N-oxide from dietary I-carnitine than vegetarians.,CONTRADICT
Omnivores produce more trimethylamine N-oxide from dietary I-carnitine than vegans.,SUPPORT
Omnivores produce more trimethylamine N-oxide from dietary I-carnitine than vegetarians.,SUPPORT
One in two surgical randomized controlled trials are discontinued early.,CONTRADICT
Osteocytes have an essential role in G-CSF induced HSPC mobilization.,SUPPORT
PCSK9 inhibitors decrease plasma Lp(a) levels.,SUPPORT
PD-1 triggering on monocytes enhances IL-10 production by monocytes.,SUPPORT
PD-1 triggering on monocytes reduces IL-10 production by monocytes.,CONTRADICT
PDPN promotes efficient motility along stromal surfaces by activating the C-type lectin receptor to rearrange the actin cytoskeleton in dendritic cells.,SUPPORT
PKG-la does not have a large impact on expression of pain hypersensitivity in PGK-la knockout mice.,CONTRADICT
PKG-la does not have a large impact on expression of spinal long term potentiation in PGK-la knockout mice.,CONTRADICT
PKG-la plays an essential role in expression of pain hypersensitivity in PGK-la knockout mice.,SUPPORT
PKG-la plays an essential role in expression of spinal long term potentiation in PGK-la knockout mice.,SUPPORT
PTEN is a regulator for the transcriptional activity of SRF,SUPPORT
Participants who quit smoking reduce lung cancer risk by approximately 50%.,SUPPORT
Patients in stable partnerships have a faster progression from HIV to AIDS.,CONTRADICT
Patients in stable partnerships have a slower progression from HIV to AIDS.,SUPPORT
Patients with common epithelial cancers are less likely to have an emergency event as their first hospital admission if they live in resource-deprived areas.,CONTRADICT
Patients with microcytosis and higher erythrocyte count are more vulnerable to severe malarial anaemia when infected with Plasmodium falciparum.,CONTRADICT
Patients with microcytosis and higher erythrocyte count were more resistant to severe malarial anaemia when infected with Plasmodium falciparum.,SUPPORT
Patients with panic anxiety show decreased CSF levels of hypocretin.,CONTRADICT
Pediatric SCD patients with vaso-occlusive crisis show increased morphine use after breathing 80 ppm iNO for 4 hours.,SUPPORT
Peroxynitrite is required for induction of T cell tolerance.,SUPPORT
Peroxynitrite is required for nitration of TCR/CD8.,SUPPORT
Pharmacist attendance at ward rounds increases adverse events in wards.,CONTRADICT
Pharmacist attendance at ward rounds reduces adverse events in wards.,SUPPORT
Phase information is useful for predicting donor-recipient matches in organ transplantation.,SUPPORT
Physical activity does not improve cognitive function in individuals with Alzheimers.,CONTRADICT
Piezo1 channels are sensors for cell migration in epithelial cells.,SUPPORT
Pioglitazone use is significantly associated with an increased risk of pancreatic cancer.,SUPPORT
Pioglitazone use is significantly associated with an increased risk of prostate cancer.,SUPPORT
Pioneer factor OCT3/4 interacts with major chromatin remodeling factors.,SUPPORT
Podocytes are motile and migrate in the presence of injury.,SUPPORT
Polymeal nutrition increases cardiovascular mortality.,CONTRADICT
Polymeal nutrition reduces cardiovascular mortality.,SUPPORT
Post-transcriptional handling of mitochondrial transcripts occurs in mitochondrial RNA granules.,SUPPORT
Pre-mRNAs associated with spliceosomal components are less stable than unassociated splicing substrates.,CONTRADICT
Prescribed exercise training improves quality of life.,SUPPORT
Pretreatment with the Arp2/3 inhibitor CK-666 affects lamelliopodia formation.,SUPPORT
Primary cervical cancer screening with HPV detection has higher longitudinal sensitivity than conventional cytology to detect cervical intraepithelial neoplasia grade 2.,SUPPORT
Primary cervical cytology screening with HPV detection has higher longitudinal sensitivity to detect severe cervical intraepithelial neoplasia than conventional cytology.,SUPPORT
Pro-inflammatory cytokines are up regulated during tumor development.,SUPPORT
Progerin induces premature aging in stem cells.,SUPPORT
Propriospinal interneurons that play a role in the plastic reorganization of spinal circuits are integral for recovery from spinal cord injury.,SUPPORT
Proteins synthesized at the growth cone are ubiquitinated at a higher rate than proteins from the cell body.,SUPPORT
Pseudogene PTENP1 encodes a transcript that regulates PTEN expression.,SUPPORT
Pseudogene PTENP1 regulates the expression of PTEN by functioning as an miRNA decoy.,SUPPORT
Pyridostatin destabilizes the G - quadruplex in the telomeric region.,CONTRADICT
Pyridostatin encourages proliferation of homologous recombination - defective cells.,CONTRADICT
Pyridostatin induces checkpoint activation.,SUPPORT
Pyridostatin induces double-strand breaks accumulation.,SUPPORT
Pyridostatin reduces proliferation of homologous recombination - defective cells.,SUPPORT
RANK-RANKL pathway signalling has no known association with development of Aire-expressing medullary thymic epithelial cells.,CONTRADICT
RANK-RANKL pathway signalling is linked to development of Aire-expressing medullary thymic epithelial cells.,SUPPORT
RUNX1 is downregulated or mutated in TLX1 T-ALL.,SUPPORT
Radioiodine treatment of non-toxic multinodular goitre increases thyroid volume.,CONTRADICT
Radioiodine treatment of non-toxic multinodular goitre reduces thyroid volume.,SUPPORT
Rapid phosphotransfer rates are correlated with histidine kinase regulator specificity.,SUPPORT
Rapid phosphotransfer rates govern fidelity in two component systems,SUPPORT
Rapid up-regulation and higher basal expression of interferon-induced genes increase survival of granule cell neurons that are infected by West Nile virus.,SUPPORT
Rapid up-regulation and higher basal expression of interferon-induced genes reduce survival of granule cell neurons that are infected by West Nile virus.,CONTRADICT
Recognition of start codons depends on the translation initiation factor IF3.,SUPPORT
Recurrent mutations occur frequently within CTCF anchor sites adjacent to oncogenes.,SUPPORT
Reduced responsiveness to interleukin-2 in regulatory T cells is associated with autoimmune diseases such as Type 1 Diabetes.,SUPPORT
Reduced responsiveness to interleukin-2 in regulatory T cells is associated with greater resistance to autoimmune diseases such as Type 1 Diabetes.,CONTRADICT
Reduction of Rpl38 alters the composition of the Hox gene mRNAs translation in mice without lowering overall protein synthesis.,SUPPORT
Removal of H3K9me3 by ectopic expression of other H3K9 demethylases decreases reprogramming efficiency in SCNT experiments.,CONTRADICT
Removal of H3K9me3 by ectopic expression of other H3K9 demethylases improves reprogramming efficiency in SCNT experiments.,SUPPORT
Removal of H3K9me3 improves reprogramming efficiency in human somatic cell nuclear transfer experiments.,SUPPORT
Replacement of histone H2A with H2A.Z slows gene activation in yeasts by stabilizing +1 nucleosomes.,CONTRADICT
Repressing IL-18 has negative effects on atherosclerotic lesion composition and progression.,CONTRADICT
Retinoic acid receptor-related orphan receptor gamma (RORγ) is a therapeutic target for castration-resistant prostate cancer (CRPC),SUPPORT
Rhythmic expression of Cry1 translates directly into a circadian regulation of cAMP signaling in hepatic glucose metabolism.,SUPPORT
Ribosomopathies have a high degree of cell and tissue specific pathology.,SUPPORT
Risedronate increases risk of vertebral and non-vertebral fractures.,CONTRADICT
Risk of cardiovascular events can be cut by a third by using antihypertensive drug therapy among hemodialysis patients.,SUPPORT
Rotator cuff exercises are more effective than general exercise therapy in reducing pain and improving function of the shoulder.,SUPPORT
S-nitrosylated GAPDH physiologically transnitrosylates histone deacetylases.,SUPPORT
Scapular stabilizer exercises are more effective than general exercise therapy in reducing pain and improving function of the shoulder.,SUPPORT
Sepsis related mortality has remained stable between 2009-2014.,SUPPORT
Sepsis related mortality has risen from 2009 to 2014.,CONTRADICT
Side effects associated with antidepressants do not represent a mortality risk to postmenopausal women.,CONTRADICT
Side effects associated with antidepressants increases risk of stroke.,SUPPORT
Sildenafil improves erectile function in men who experience sexual dysfunction as a result of the use of SSRI antidepressants.,SUPPORT
Sildenafil worsens erectile function in men who experience sexual dysfunction as a result of the use of SSRI antidepressants.,CONTRADICT
Smc5/6 engagment drives the activation of SUMO E3 ligase Mms21 by ATP-dependent remolding.,SUPPORT
Smc5/6 engagment halts the activation of SUMO E3 ligase Mms21 by ATP-dependent remolding.,CONTRADICT
Splenomegaly is observed in knockin mouse lacking the SHP-2 MAPK pathway.,SUPPORT
Stiff substrates inhibit mesodermal differentiation by degrading beta-catenin in an integrin-dependent manner.,SUPPORT
Stroke patients with prior use of direct oral anticoagulants have a higher risk of in-hospital mortality than stroke patients with prior use of warfarin.,CONTRADICT
Stroke patients with prior use of direct oral anticoagulants have a lower risk of in-hospital mortality than stroke patients with prior use of warfarin.,SUPPORT
Students who perform poorly in the early years of medical school are at increased risk for professional misconduct later in their careers.,SUPPORT
Students who perform poorly in the early years of medical school are less likely to commit professional misconduct later in their careers.,CONTRADICT
Subcutaneous fat depots undergo extensive browning processes after cold exposure.,SUPPORT
Suboptimal nutrition is not predictive of chronic disease,CONTRADICT
"Surfactin producing cells and exopolymer producing cells cooperate to generate ""Van Gogh"" bundles that have sliding abilities on specialized media.",SUPPORT
Sympathetic nerve activity is elevated throughout normal pregnancy.,SUPPORT
Sympathetic nerve activity is reduced throughout normal pregnancy.,CONTRADICT
Synaptic activity enhances local release of brain derived neurotrophic factor from postsynaptic dendrites.,SUPPORT
Systemic immunosuppressive (IS) therapy does not enhance the chance of cancer mortality in patients with inflammatory eye disease (IED),SUPPORT
Systemic immunosuppressive (IS) therapy increases the chance of cancer mortality in patients with inflammatory eye disease (IED),CONTRADICT
T cell receptor /CD3 microdomains are required to induce the immunologic synapse.,SUPPORT
T regulatory cells (tTregs) lacking αvβ8 are more adept at suppressing pathogenic T-cell responses during active inflammation.,CONTRADICT
TCR/CD3 microdomains are a required to induce the immunologic synapse to activate T cells.,SUPPORT
TMEM27 is a marker for beta cells.,SUPPORT
TNFAIP3 is a glioblastoma tumor enhancer.,SUPPORT
TNFAIP3 is a glioblastoma tumor suppressor.,CONTRADICT
TNFAIP3 is a tumor enhancer in glioblastoma.,SUPPORT
TNFAIP3 is a tumor suppressor in glioblastoma.,CONTRADICT
TRAP+ osteoclasts regulate mature osteoblast maintenance.,SUPPORT
Taking 400mg of α-tocopheryl acetate does not prevent prostate cancer.,SUPPORT
Taking 400mg of α-tocopheryl acetate helps to prevent prostate cancer.,CONTRADICT
Taking 400mg of α-tocopheryl acetate in combination with vitamin C reduces the risk of prostate cancer.,CONTRADICT
Taking anti-depresents is associated with a decrease in the Aβ level in the brain of experimental animals.,SUPPORT
Taxation of sugar-sweetened beverages had no effect on the incidence rate of type II diabetes in India.,CONTRADICT
Taxation of sugar-sweetened beverages reduced the incidence rate of type II diabetes in India.,SUPPORT
Teaching hospitals do not provide better care than non-teaching hospitals.,SUPPORT
Ten percent (10%) of kidney cancers in the UK are attributable to excess weight.,SUPPORT
Tetraspanin-3 is a causative factor in the development of acute myelogenous leukemia,SUPPORT
The C-type lectin receptor (CLEC-2) rearranges the actin cytoskeleton in dendritic cells to promote efficient motility along stromal surfaces.,SUPPORT
The DESMOND program caused substantial weight loss in most participants.,CONTRADICT
The DESMOND program demonstrates no significant impact on biochemical outcomes.,SUPPORT
The DESMOND program demonstrates no significant impact on lifestyles outcomes.,SUPPORT
The DESMOND program demonstrates no significant impact on weight loss.,SUPPORT
The DdrB protein from Deinococcus radiodurans functions as a pentamer.,SUPPORT
The DdrB protein from Deinococcus radiodurans is an alternative SSB.,SUPPORT
The M2-phenotype in brown adipose tissue macrophages increases brown adipose tissue thermogenic activity.,SUPPORT
The PDPN gene deactivates the C-type lectin receptor (CLEC-2).,CONTRADICT
The PRDM1 gene is a key determinant of primordial germ cells.,SUPPORT
"The PRDM1 gene, when combined with the PRDM14 gene, plays an important role during primordial germ cell specification.",SUPPORT
The PRR MDA5 is a sensor of RNA virus infection.,SUPPORT
The RANK-RANK-Ligand (RANKL) pathway is involved in the development of Aire-expressing medullary thymic epithelial cells (mTECs).,SUPPORT
The US health care system can save up to $5 billion if 7% of patients waiting for kidney transplants participate in the optimized national kidney paired donation program.,CONTRADICT
The US health care system can save up to $750 million if 7% of patients waiting for kidney transplants participate in the optimized national kidney paired donation program.,SUPPORT
The center of the granuloma in an immune cell induces a pro-inflammatory immune response.,SUPPORT
The combination of physical examinations with C-reactive protein values do not improve the accuracy of radiographic verified pneumonia predictions.,CONTRADICT
The deamination of cytidine to uridine on the minus strand of viral DNA can inactivate the viral genome by inducing G-to-A mutations.,SUPPORT
The density of cytokine receptor bearing cells affects the distance over which cytokines act.,SUPPORT
The density of cytokine receptor bearing cells has no effect on the distance over which cytokines act.,CONTRADICT
The latent infection of myeloid cells with human cytomegalovirus induces a number of changes in gene expression.,SUPPORT
The mean suicide rate in women is lower after miscarriage than live birth.,CONTRADICT
The microtubule-dependent delivery and secretion of matrix metalloproteases (MMPs) is partially responsible for the disassembly of adhesion sites.,SUPPORT
The minor G allele of FOXO3 is related to less severe symptoms of Crohn's Disease.,SUPPORT
The minor G allele of FOXO3 is related to more severe symptoms of Crohn's Disease.,CONTRADICT
The minor G allele of FOXO3 up-regulates IL-10.,SUPPORT
The most prevalent adverse events to Semaglutide are cardiovascular.,CONTRADICT
The most prevalent adverse events to Semaglutide are gastrointestinal.,SUPPORT
The myocardial lineage develops from cardiac progenitors of mesodermal origin.,SUPPORT
The one-child policy has created a hospitable environment for female infants.,CONTRADICT
The peak incidence of fractures occurs during pubertal growth spurt in early adolescents.,SUPPORT
The peak incidence of fractures occurs in toddlers.,CONTRADICT
The proliferative capacity of neural progenitors differs across species.,SUPPORT
The proliferative capacity of progenitors is regulated cell-autonomously.,SUPPORT
The recruitment of Wdr5 to its target loci depends on Kat8.,SUPPORT
The relationship between a breast cancer patient's capacity to metabolize tamoxifen and treatment outcome is dependent on the patient's genetic make-up.,SUPPORT
The relationship between a breast cancer patient's capacity to metabolize tamoxifen and treatment outcome is independent of the patient's genetic make-up.,CONTRADICT
The removal of reactive oxygen species by activated oncogenes contributes to the increased genomic instability of leukaemia cells.,CONTRADICT
The repair of Cas9-induced double strand breaks in human DNA is error-prone.,SUPPORT
The repeat-variable diresidue (RVD) in the loop of Transcription-Activator Like (TAL) effectors specifies the nucleotides-amino acid contact at the target promoter element.,SUPPORT
The risk of breast cancer among parous women decreases with placental weight of pregnancies.,CONTRADICT
"The risk of breast cancer among parous women increases with placental weight of pregnancies, and this association is strongest for premenopausal breast cancer.",SUPPORT
The risk of cancer rises with level of alcohol consumption.,SUPPORT
The risk of female prisoners harming themselves is ten times that of male prisoners.,SUPPORT
The severity of cardiac involvement in amyloidosis can be described by the degree of transmurality of late gadolinium enhancement in MRI.,SUPPORT
The tip of the inner tube of the toxic type VI secretion system (T6SS) antibacterial effector in Escherichia coli (E. coli) carries toxic effector proteins.,SUPPORT
The tissue surrounding the granuloma in an immune cell induces an anti-inflammatory immune response.,SUPPORT
Therapeutics receiving accelerated approval encounter a lower frequency of post-marketing safety events,CONTRADICT
There is a positive correlation between hip fractures and statin use.,CONTRADICT
There is a relation between Erythromycin use and hypertrophic pyloric stenosis.,SUPPORT
There is an inverse relationship between hip fractures and statin use.,SUPPORT
There is no increased risk of hypospadias with clomiphene.,CONTRADICT
There is no known interaction between Pioneer factor OCT3/4 and major chromatin remodeling factors.,CONTRADICT
There is no relation between Erythromycin use and hypertrophic pyloric stenosis.,CONTRADICT
Tirasemtiv has no effect on fast-twitch muscle.,CONTRADICT
Tirasemtiv targets fast-twitch muscle.,SUPPORT
"Trans-acting factors, such as lncRNAs, influence mRNA translation.",SUPPORT
Transcription factor EB induces transcription of pro-inflammatory cytokines in macrophages infected with Staphylococcus aureus.,SUPPORT
Transplanted human glial cells can differentiate within the host animal.,SUPPORT
Transplanted human glial progenitor cells are incapable of forming a neural network with host animals' neurons.,CONTRADICT
Transplanted human glial progenitor cells can mature in their host animal.,SUPPORT
Treatment with a protein named FN impairs regenerative abilities of aged muscles.,CONTRADICT
Treatment with a protein named FN restores regenerative abilities of aged muscles.,SUPPORT
Tuberculosis incidence occurs at higher rates in more sparsely populated areas in the UK.,CONTRADICT
Tuberculosis-induced granulomas express different immune system protein signatures than the surrounding tissue.,SUPPORT
Two variants of chromosome 6q21 are associated with radiation therapy-induced second malignancies in pediatric Hodgkin lymphoma patients.,SUPPORT
Type 1 Diabetes is associated with subtle perturbations in T reg development.,SUPPORT
UCB T cells maintain high TCR diversity after transplantation.,SUPPORT
UCB T cells reduce TCR diversity after transplantation.,CONTRADICT
Ubiquitin ligase UBC13 generates a K63-linked polyubiquitin moiety at PCNA K164.,SUPPORT
Ultrasound guidance significantly raises the number of traumatic procedures when attempting needle insertion.,CONTRADICT
Ultrasound guidance significantly reduces the number of needle insertion attempts necessary for a given procedure.,SUPPORT
Ultrasound guidance significantly reduces the number of traumatic procedures when attempting needle insertion.,SUPPORT
"Upon developing tyrosine-kinase inhibitor resistance, new mutations in epidermal growth factor receptors emerge and cause treatment failure.",SUPPORT
"Upon viral challenge, influenza-specific memory CD4+ T cells greatly diminish the early production of inflammatory chemokines in the lung.",CONTRADICT
"Upon viral challenge, influenza-specific memory CD4+ T cells greatly enhance the early production of inflammatory chemokines in the lung.",SUPPORT
Upregulation of mosGCTL-1 is induced upon infection with West Nile virus.,SUPPORT
V-9302 inhibits antitumor responses by decreasing cell death and oxidative stress.,CONTRADICT
Vaccinating the gastrointestinal tract induces protection of rectal and vaginal mucosa.,SUPPORT
Varenicline monotherapy is more effective after 12 weeks of treatment compared to combination nicotine replacement therapies with varenicline or bupropion.,CONTRADICT
Varenicline monotherapy is more effective after 26 weeks of treatment compared to combination nicotine replacement therapies with varenicline or bupropion.,CONTRADICT
Vitamin D deficiency effects birth weight.,SUPPORT
Vitamin D deficiency effects the term of delivery.,SUPPORT
Vitamin D deficiency is unrelated to birth weight.,CONTRADICT
Vitamin D is an important factor in the relationship between calcium and parathyroid hormone.,SUPPORT
Walking in traffic areas in London did not improve lung function in elderly adults.,SUPPORT
Walking in traffic areas in London improves lung function in elderly adults.,CONTRADICT
